Darus Prin

High Concept               - Clawdite Smuggler
Ambition Aspect            - Greener Pastures
Background Aspect          - Hutt's Back yard
Conviction Aspect          - "I like my head exactly where it is, thank you"
Disadvantage Aspect        - Mixing business and pleasure
Exceptional Skill Aspect   - "Do you want to fly into a star or bounce off a supernova?"
Foe Aspect                 - Empire
Gear Aspect                - Illegally Modified Versafunction99 Datapad
Help Aspect                - Informants
Inferior Skill Aspect      - "Yes, I would indeed like to buy some deathsticks"


Level       [2]
Health      [Healthy] [Injured] [Wounded] [Incapacitated]
Stamina     [40]
Edge        [2]

Body                    [5]
    Lift/Carry/Haul     [5]

Reflexes                [5]
    Dodge               [5]
    Firearms            [5]
    Ship Weapons        [5]
    Pilot               [10]

Wits                    [5]
    Perception          [7]
    Slicing             [10]
    Gather Information  [10]

Persona                 [5]
    Bluff               [10]

    
Powers
   Shape Shift - Darus may change his/her form for 5 stamina spent, to a total of his/her Maximum Stamina
